,t,r,p,p_fdr
7Networks_LH_SalVentAttn_ParOper_1,-2.9820601417967185,-0.1066798616551601,0.002957552143508855,0.004481139611377053
7Networks_LH_SalVentAttn_FrOperIns_1,-1.8369020994542882,-0.06581373984139342,0.06662361604447713,0.07402624004941903
7Networks_LH_SalVentAttn_FrOperIns_2,-0.46228705799573777,-0.01665307868143218,0.6440113671253406,0.6571544562503475
7Networks_LH_SalVentAttn_PFCl_1,-1.4095461981500594,-0.05060201550016921,0.15909611704950308,0.1710710936016162
7Networks_LH_SalVentAttn_Med_1,-0.7749901708527707,-0.027861168196976246,0.43859370315107704,0.45215845685678047
7Networks_LH_SalVentAttn_Med_2,-3.299051860961146,-0.11789836833996806,0.0010166050373267284,0.0019933432104445653
7Networks_LH_SalVentAttn_Med_3,-5.7077747977663105,-0.20106322074433144,1.6565432092608824e-08,8.200199507747726e-08
7Networks_LH_Limbic_OFC_1,-2.0530534811709975,-0.07368300237846984,0.04041892453484399,0.04699874945912092
7Networks_LH_Limbic_TempPole_1,-3.5759142908792634,-0.1274984502266097,0.00037169124286281927,0.0007816494303711628
7Networks_LH_Limbic_TempPole_2,-3.1153927865138096,-0.11132385952731741,0.0019079316518899362,0.0032337824608304005
7Networks_LH_Cont_Par_1,-2.7164708726183475,-0.0969661902571135,0.006751451923087803,0.009123583679848382
7Networks_LH_Cont_PFCl_1,-2.7589633979496537,-0.09850413521047079,0.00594155059986731,0.008139110410777136
7Networks_LH_Cont_pCun_1,-2.8696668080334127,-0.1023643310932174,0.004225408068856023,0.006123779809936266
7Networks_LH_Cont_Cing_1,-3.570510597873426,-0.12706964396660908,0.0003791843253145831,0.0007816494303711628
7Networks_LH_Default_Temp_1,-2.9686356025954974,-0.10614293825343686,0.003087844935207667,0.00460872378389204
7Networks_LH_Default_Temp_2,-3.1654276147220317,-0.11292832287746989,0.0016118320514617146,0.00293060372993039
7Networks_LH_Default_Par_1,-5.5235217312388,-0.19464041930908832,4.6014293385739124e-08,1.840571735429565e-07
