,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_LH_SomMot_2,0.09950170461008274,0.04668407001951587,2.1313845294227116,0.03305747633533396,0.008002608720085541,0.19100080050007995,71.92348445472696,0.0007801928853623778,0.05903120774166778
7Networks_LH_SomMot_3,0.026124096849748788,0.04506407179701522,0.5797100840647759,0.5621101419102446,-0.06219986086912824,0.1144480545686258,69.09554636104124,0.001960612894577397,0.67724113483162
7Networks_LH_SomMot_4,0.0036872478086192356,0.04867586941608521,0.07575104159106738,0.9396171672970828,-0.09171570316308249,0.09909019878032095,73.63392217745503,0.00040160909567267685,0.9686774920588482
7Networks_LH_SomMot_5,0.03465190627798615,0.04761465208270224,0.7277572083861706,0.466762223506906,-0.05867109694051532,0.12797490949648763,72.1670886121265,0.0007136833930585995,0.5844187142631675
7Networks_LH_SomMot_6,-0.017116368608937067,0.054833593303776455,-0.31215113906748554,0.7549256633956769,-0.1245882366272556,0.09035549940938145,79.32841702481603,1.8272389238313724e-05,0.829362153931105
7Networks_LH_DorsAttn_Post_1,-0.04008558642618831,0.02530943492041513,-1.583819889785624,0.11323471172600774,-0.08969116733926234,0.009519994486885716,0.0,0.8237381828347834,0.17420724880924268
7Networks_LH_DorsAttn_Post_2,-0.005633090809549271,0.05408598576453131,-0.10415065436864716,0.9170497930264947,-0.1116396749763767,0.10037349335727816,78.66781564884593,2.8671014558567426e-05,0.9552602010692653
7Networks_LH_DorsAttn_Post_3,0.01904818009104016,0.03066414650076353,0.6211873560728607,0.5344763576358793,-0.04105244266711629,0.0791488028491966,32.435874103463306,0.16904652128479966,0.6518004361413162
7Networks_LH_DorsAttn_Post_4,0.008428372453677795,0.043669050677621966,0.1930056257897285,0.8469545621872838,-0.0771613941135157,0.09401813902087129,67.15915063709653,0.003330970244158322,0.9107038303089073
7Networks_LH_DorsAttn_Post_5,-0.15872669507763007,0.05436721733745317,-2.9195295041941467,0.0035056020823887035,-0.2652844829986999,-0.05216890715656024,79.22999457480874,1.9579173223444398e-05,0.007303337671643133
7Networks_LH_DorsAttn_Post_6,-0.014221894739661407,0.04716634574832112,-0.30152632166055887,0.7630131816166167,-0.10666623368873471,0.07822244420941188,71.8809713495076,0.000792281381549758,0.829362153931105
7Networks_LH_DorsAttn_PrCv_1,-0.005886925732232698,0.033794759731872306,-0.1741964073406522,0.8617111089006246,-0.07212343767288691,0.06034958620842152,44.72815652121895,0.08071237211661758,0.9167139456389625
7Networks_LH_DorsAttn_FEF_1,0.05472122373474204,0.05195333301405107,1.0532764802585886,0.29221429513157693,-0.04710543784961383,0.1565478853190979,77.55937511173148,5.726849082570645e-05,0.3948841826102391
7Networks_LH_SalVentAttn_ParOper_1,-0.07698475492586132,0.031764457418544285,-2.423613094077821,0.015366967643387297,-0.13924194745466426,-0.014727562397058386,37.53553115578512,0.1298671167989558,0.02899427857242886
7Networks_LH_SalVentAttn_FrOperIns_1,0.028051043133777025,0.032033765916215824,0.8756711030212435,0.38120885906066304,-0.03473398435119271,0.09083607061874677,37.5087877076202,0.13006490509716104,0.49507644033852344
7Networks_LH_SalVentAttn_FrOperIns_2,0.01378313068860088,0.02531747506209067,0.5444117414867791,0.5861581677726926,-0.035838208612587796,0.06340446998978956,0.0,0.5599733017229019,0.6816116918003577
7Networks_LH_SalVentAttn_PFCl_1,-0.10871105918723416,0.02606872382249539,-4.170171885952642,3.0436998541549798e-05,-0.15980481900224644,-0.05761729937222187,5.388936389612471,0.38857846074865793,0.00010050252835621413
7Networks_LH_SalVentAttn_Med_1,-0.08163794963581845,0.04243013961996084,-1.9240556445732904,0.05434760903057534,-0.1647994951499477,0.0015235958783108017,65.18919754893662,0.005339616390172552,0.09057934838429224
7Networks_LH_SalVentAttn_Med_2,0.07774829194444376,0.042066973617142754,1.848202645905587,0.06457303281094529,-0.004701461283752692,0.1601980451726402,64.9841269252781,0.005589299211020407,0.10585743083761523
7Networks_LH_SalVentAttn_Med_3,-0.0015344212267705585,0.05516139604799071,-0.02781693968433293,0.9778081552761465,-0.10964877081778242,0.10657992836424131,80.09536668404746,1.0401308290809435e-05,0.9970848399135375
7Networks_LH_Limbic_OFC_1,-0.17431061920109445,0.029656009206747696,-5.877750373824175,4.1587941979059906e-09,-0.2324353291715082,-0.1161859092306807,30.013380149388823,0.18846515252645973,2.0793970989529953e-08
7Networks_LH_Limbic_TempPole_1,-0.10438003943915522,0.02514035387880549,-4.151892210521051,3.297375684663262e-05,-0.15365422760020583,-0.055105851278104606,0.0,0.4344546911247237,0.00010304299014572693
