,younger,older,all
7Networks_RH_SalVentAttn_TempOccPar_2,0.7413810342537751,0.7178084939835991,0.7955580320856885
7Networks_RH_SalVentAttn_FrOperIns_1,0.7974908823683767,0.7896219965614981,0.8333867103314562
7Networks_RH_SalVentAttn_Med_1,0.8633238980994763,0.816691797233376,0.8501961331413876
7Networks_RH_SalVentAttn_Med_2,0.9303987051831165,0.905572437854783,0.9335065153815412
7Networks_RH_Limbic_OFC_1,0.7591196604744134,0.7707440684624958,0.7906109320262771
7Networks_RH_Limbic_TempPole_1,0.7853333288611213,0.8395907031452484,0.8563630482423827
7Networks_RH_Cont_Par_1,0.663964065395905,0.7209956702632077,0.817329005629718
7Networks_RH_Cont_Par_2,0.8427871036707419,0.8656842554728266,0.8777922153613364
7Networks_RH_Cont_PFCl_1,0.9139956228857318,0.8314508291603997,0.8750268034424173
7Networks_RH_Cont_PFCl_2,0.7145934163005516,0.6891924943413144,0.7529702184586661
7Networks_RH_Cont_PFCl_3,0.8145786165526359,0.8488257330809783,0.8730452198447938
7Networks_RH_Cont_PFCl_4,0.8277436985154027,0.855049826703576,0.8632306654262994
7Networks_RH_Cont_Cing_1,0.8745971652540648,0.7829419963777221,0.8325000893093804
7Networks_RH_Cont_PFCmp_1,0.7772361834266123,0.7903637656221737,0.8265379841627064
7Networks_RH_Cont_pCun_1,0.7347703543630576,0.8360162736539349,0.7805240161640945
7Networks_RH_Default_Par_1,0.8237978240859424,0.8087963303139853,0.8687235243245682
7Networks_RH_Default_Temp_1,0.7577916715954581,0.8035712107012342,0.7805802853235911
7Networks_RH_Default_Temp_2,0.7833931443563581,0.7819803296081761,0.8022463203293159
7Networks_RH_Default_Temp_3,0.8913805961419525,0.9375642973350808,0.9168641441865863
7Networks_RH_Default_PFCv_1,0.8606597339217937,0.8662701606818801,0.8754203558535869
7Networks_RH_Default_PFCv_2,0.8763395529386975,0.8942236452591459,0.8881895943540218
7Networks_RH_Default_PFCdPFCm_1,0.9170983957711886,0.7872605180210835,0.8880472382383071
7Networks_RH_Default_PFCdPFCm_2,0.884040815769475,0.6941076484450098,0.8368871261898564
7Networks_RH_Default_PFCdPFCm_3,0.704152890716745,0.7667363966875695,0.7816502953183045
7Networks_RH_Default_pCunPCC_1,0.8594327904086462,0.8789171928647097,0.8687600480444672
7Networks_RH_Default_pCunPCC_2,0.820436531925229,0.8332005659221776,0.856329692869488
