,t,r,p,p_fdr
7Networks_LH_SalVentAttn_Med_2,-3.2199394058070085,-0.11523233639151698,0.0013384897298911206,0.014686407398034415
7Networks_LH_SalVentAttn_Med_3,-2.9854491959691627,-0.10696816846848628,0.0029254972059293417,0.01872402878392338
7Networks_LH_Limbic_OFC_1,-1.48087000970495,-0.05349630931654104,0.13907268234370987,0.20451865050545567
7Networks_LH_Limbic_TempPole_1,-1.4605489236466997,-0.05278285213688752,0.14456951402364815,0.20654284337216172
7Networks_LH_Limbic_TempPole_2,-1.2271936416611824,-0.04431386316288858,0.2201438103830746,0.26523350648563204
7Networks_LH_Cont_Par_1,-1.4297161638156208,-0.05154383273141003,0.1532234075686142,0.2095916639240588
7Networks_LH_Cont_PFCl_1,-2.050036408222276,-0.07389887162104718,0.040716118861073354,0.0768228657756101
7Networks_LH_Cont_pCun_1,-1.128165945409723,-0.04066740805352407,0.2596169612823165,0.30188018753757734
7Networks_LH_Cont_Cing_1,-1.4353127709807627,-0.051871987400499885,0.15162396517579874,0.2095916639240588
7Networks_LH_Default_Temp_1,-0.9423833438184807,-0.03404370932779117,0.3463068948081095,0.3935305622819426
7Networks_LH_Default_Temp_2,-1.3806280116410408,-0.049783231742736814,0.1678130550232786,0.22375074003103812
7Networks_LH_Default_Par_1,-2.4758095412247534,-0.08914780268423025,0.013518293894371087,0.03466229203684894
7Networks_LH_Default_Par_2,-0.883539335101528,-0.03188367356228434,0.3772346267665282,0.4238591311983463
7Networks_LH_Default_PFC_1,-1.8542490303586623,-0.06679495615878742,0.0641044655456428,0.11655357371935053
7Networks_LH_Default_PFC_2,-1.3570579879163305,-0.04905423549164586,0.17518222578553866,0.23050292866518243
7Networks_LH_Default_PFC_3,-1.6354308133278943,-0.059178208918747484,0.10239043349016975,0.16514586046801574
7Networks_LH_Default_PFC_4,-1.5311630967511944,-0.0553226758893629,0.12616289809209325,0.19115590620014128
