,younger,older,all
7Networks_LH_Cont_Par_1,0.4730000853195067,0.7897568439422338,0.6871401007211626
7Networks_LH_Cont_PFCl_1,0.7707226444846026,0.7698421946294264,0.7544451178941484
7Networks_LH_Cont_pCun_1,0.7160214617809542,0.7179941392079546,0.765686230349974
7Networks_LH_Cont_Cing_1,0.7838599837754279,0.7352288642660616,0.7773081801990677
7Networks_LH_Default_Temp_1,0.6002538574331854,0.7075738893006859,0.7240981424135807
7Networks_LH_Default_Temp_2,0.5670474360260748,0.5765240279104422,0.5526919793124316
7Networks_LH_Default_Par_1,0.5622274065194448,0.6256863537372707,0.6266988396134133
7Networks_LH_Default_Par_2,0.7353896875530356,0.669349649764984,0.7141938305736214
7Networks_LH_Default_PFC_1,0.4523566089665095,0.7818690370517503,0.6295874921097083
7Networks_LH_Default_PFC_2,0.6871337902298351,0.710910757487737,0.7154310341639462
7Networks_LH_Default_PFC_3,0.5945073409166883,0.6198909187682989,0.6218703071807512
7Networks_LH_Default_PFC_4,0.729834522246916,0.7757981069481035,0.785251170290012
7Networks_LH_Default_PFC_5,0.6590595914386383,0.6250573577840958,0.7593453875120754
7Networks_LH_Default_PFC_6,0.5195740446099342,0.45290806754221064,0.5346127854777859
7Networks_LH_Default_PFC_7,0.4199315271283093,0.8442510388210344,0.6764209633355633
7Networks_LH_Default_pCunPCC_1,0.8299126004351951,0.6800848442808102,0.7836053181560345
7Networks_LH_Default_pCunPCC_2,0.7719477677195221,0.7225089795568556,0.8004404745688585
7Networks_RH_Vis_1,0.5326087163864123,0.6790145311892039,0.614443237834301
7Networks_RH_Vis_2,0.6881585236909321,0.7381327435247287,0.7018193032443222
7Networks_RH_Vis_3,0.7212311920870627,0.6291897261361254,0.6929893618010137
7Networks_RH_Vis_4,0.6758959683467197,0.9219948689457245,0.8412004066836475
7Networks_RH_Vis_5,0.7723331000961718,0.8664643361499378,0.8115320626723355
7Networks_RH_Vis_6,0.7076436211248247,0.8451332188576739,0.7496026458989181
7Networks_RH_Vis_7,0.48946091396566316,0.7785437993306064,0.6030643826730523
7Networks_RH_Vis_8,0.5784645959819846,0.8330542102117076,0.7327827288633427
7Networks_RH_SomMot_1,0.8230144526215054,0.8949807104596521,0.8548424892824761
7Networks_RH_SomMot_2,0.8395952797185066,0.8185789588355247,0.7900145840958579
7Networks_RH_SomMot_3,0.8673589327687858,0.7979649681346314,0.8056080136681348
7Networks_RH_SomMot_4,0.7494617259289126,0.7101390132950242,0.7942817292271658
7Networks_RH_SomMot_5,0.7206565593739257,0.7392205565241606,0.7398070729416295
7Networks_RH_SomMot_6,0.7705750476173224,0.7062027514221607,0.7048413216888559
7Networks_RH_SomMot_7,0.5300060838681603,0.4457086267362644,0.49887743322915934
7Networks_RH_SomMot_8,0.6150003831066048,0.5322652608796836,0.5488565788701901
7Networks_RH_DorsAttn_Post_1,0.7108064108283753,0.6972535083190806,0.7139511254595463
7Networks_RH_DorsAttn_Post_2,0.8531681188038155,0.6392882368358276,0.7527722949937206
7Networks_RH_DorsAttn_Post_3,0.7201199029241802,0.7070116280152233,0.7652258129319782
7Networks_RH_DorsAttn_Post_4,0.5700904629472172,0.6852127504684351,0.6241179827208526
7Networks_RH_DorsAttn_Post_5,0.6034575651807194,0.505978079705063,0.5882611714489441
7Networks_RH_DorsAttn_PrCv_1,0.7909838523898681,0.8834692293487376,0.8807228131801226
7Networks_RH_DorsAttn_FEF_1,0.7292060736750808,0.6663914190708915,0.6890203175160511
7Networks_RH_SalVentAttn_TempOccPar_1,0.6656554258425281,0.778664705574839,0.7860931570468075
7Networks_RH_SalVentAttn_TempOccPar_2,0.6480373779538161,0.7506078726070123,0.7206468918706616
7Networks_RH_SalVentAttn_FrOperIns_1,0.7251984685871724,0.6129542624015545,0.6785835309783156
7Networks_RH_SalVentAttn_Med_1,0.772923318175862,0.6959010261339063,0.7428064095838396
7Networks_RH_SalVentAttn_Med_2,0.7583910398736301,0.8449560588524512,0.8171586647892878
7Networks_RH_Limbic_OFC_1,0.7115439090808451,0.7202146336258767,0.7364289647665353
7Networks_RH_Limbic_TempPole_1,0.5396702006148082,0.7745990812462556,0.6703742127113272
7Networks_RH_Cont_Par_1,0.6822088129963401,0.6885241037480359,0.7721922298637689
7Networks_RH_Cont_Par_2,0.7810582387018472,0.7497857249273076,0.7892834768118179
7Networks_RH_Cont_PFCl_1,0.7434837710395131,0.8304027686408506,0.8041168385046314
7Networks_RH_Cont_PFCl_2,0.7336054860378495,0.8361369289429932,0.7744177898958036
